,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
33,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
34,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
35,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
36,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
37,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
38,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
39,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
40,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
41,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
42,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
43,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
44,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
45,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
46,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
47,"[2, 4, 4, 1]",1339.0689784930053,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
48,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
49,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
50,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
51,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
52,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
53,"[2, 4, 4, 1]",1336.8525080012028,,"[[0.14394750526229802, -1.0969286460853498, 0.2935889005074543, -0.5146435552742283], [-1.3705285975495642, 0.16424514673006066, 0.3704480436837767, 0.13061711433885448]]","[[-0.07009117370730814, -0.11210124419408515, 0.03514309531432774, 0.15497942946994553]]","[[0.2989718622310226, 0.6853435898107112, -1.6782009436873153, -0.19890713927578801], [-0.11939825922078583, 0.6202654307822236, -1.3654161935147624, 0.273772558331713], [0.7532684189756448, -2.2287572806902562, 1.4122226075289825, -0.2728776587819766], [0.35093052514835826, -0.3574000238352223, -0.3421172566857716, 0.09482394711867446]]","[[0.3116660988459184, -0.33380705995102405, -0.181147304775047, 0.13150410572642282]]","[[-1.2047222575242853], [-1.5530350021076273], [1.4766006776848388], [0.6032520766635434]]",[[0.39695697181820466]]
54,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
55,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
56,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
57,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
58,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
59,"[2, 4, 4, 1]",1329.9952023816877,,"[[0.15060603401015785, -1.0950379076331362, 0.3175857047171958, -0.5436929502205609], [-1.369053248931196, 0.1791619794465754, 0.400769605907609, 0.12709422142080812]]","[[-0.07511255008226851, -0.1130769205628633, 0.034339992962968274, 0.145734541023807]]","[[0.3147013571202009, 0.6733821276356221, -1.6514581149289018, -0.224950742848686], [-0.12854132643861182, 0.602248993249559, -1.3757147250542652, 0.27419171540598186], [0.7600141617932534, -2.205138364765085, 1.4068327230381061, -0.2774003350825443], [0.3570157207290189, -0.34660217095941465, -0.3520376895787708, 0.11706710185136471]]","[[0.31542310673481927, -0.3314181458424027, -0.18035249346273782, 0.12519597837703753]]","[[-1.208221596127272], [-1.527246249999115], [1.4955031079641257], [0.6006602731763717]]",[[0.39020457308013984]]
60,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
61,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
62,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
63,"[2, 4, 4, 1]",1314.3997432029782,,"[[0.15393971850936813, -1.091063732883034, 0.32518663732452047, -0.5404271049805384], [-1.3695177971703036, 0.1753560826617326, 0.39736392283013217, 0.12966397941710944]]","[[-0.073886330632067, -0.10492425951197726, 0.03845022554295461, 0.14561680512344294]]","[[0.30866295470462385, 0.6666730805288775, -1.6551760023507842, -0.21857777184749363], [-0.13028149303373082, 0.6036479278790098, -1.3723785394069297, 0.28118873164466385], [0.7587628949494818, -2.2099591276796775, 1.4130252890337718, -0.2810951085081383], [0.35609203621658353, -0.33871496745943536, -0.3485202321052188, 0.10750112588978732]]","[[0.3158744663481012, -0.3406967265919443, -0.1833290059018309, 0.13138387072883984]]","[[-1.2052855195019412], [-1.5306327428568762], [1.4906942891455501], [0.593938045896805]]",[[0.38907061903606915]]
64,"[2, 4, 4, 1]",10000.249999999927,,"[[-0.9200253765606575, -0.23805093090193827, -0.3280636487562493, -0.6981852425502018], [0.4250617572860703, 0.3271207698412389, 0.6051384253401407, -0.8202178980231832]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.5965328143262865, -0.2822310067598654, -1.5228035281493446, 1.29058828500265], [0.21906712102410017, -0.4714975704557193, -0.2256173472629809, -1.2772994503990156], [-0.8042024887641364, 0.1455973307606149, 0.24819680331312535, 0.7055075588171758], [-0.5630750801635004, 0.6411828435899278, 0.2554420654396389, 0.44623748849243033]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.8277656166269771], [-0.9451864498430698], [-0.025183611218345246], [-0.6840698838407585]]",[[0.0]]
65,"[2, 4, 4, 1]",19657.760077775045,,"[[0.09913735486657246, -0.6361155284023583, -0.7509300028087141, 0.01260225027947616], [0.38044788460399365, 0.003151902371860883, 0.1035945916117915, -1.0667903639518663]]","[[0.0, 0.0, 0.0, 0.0]]","[[1.014380563635683, -2.0583453788083195, -1.459949975942886, -0.9926131187521074], [-0.007897122299880049, 0.9207992285262526, 1.4662476882823159, 0.3459790358309172], [1.067934868297091, 2.3556917138206184, 0.27995293186448333, 0.06241450372050141], [0.33887996394605785, -1.4162825884757138, 0.06449952125543142, -1.152505624104903]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.5055203416356981], [-2.591003597102974], [0.7050225314401992], [-0.231729499049845]]",[[0.0]]
