,size,score,code,Weights0,Bias0,Weights1,Bias1,Weights2,Bias2
13,"[2, 4, 4, 1]",9999.999999994696,,"[[0.7508603637091879, -0.7298199082689738, 0.4546660539396172, -0.2688622706487416], [1.6929317497197707, 1.0483828264772943, 1.3208493354936, 0.04832534691489302]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.2724143388339941, 0.5257240455712554, 0.2392171310450885, -1.377968890305099], [0.592022973329486, -0.1267267480803244, 0.7560739372218401, 0.39493712030149003], [2.238956594770659, 1.2542089647235495, -0.7578108564704285, -0.2747062546922345], [1.5269262042666352, -1.0563452265485767, -2.458179375369529, -0.5841913275858961]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.8198165635932598], [-2.871784260485719], [-1.2156842371040373], [1.2008457202689171]]",[[0.0]]
14,"[2, 4, 4, 1]",9999.999999994696,,"[[-0.34829272301004816, 0.5774215341081479, 0.9223433300029815, 0.22147445978576003], [1.118958719512344, 0.6058416083220604, 0.2541308170871615, 1.5366205568312268]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.2768739384920534, -0.9800239552725047, -1.9205897589612098, 0.09917798345596152], [1.2079646183696195, 1.0904543563284885, -0.2548484276556768, 0.40261471907765606], [-0.1792214200909949, -0.22031431358829884, 0.8539856347097319, 0.6625650231099287], [-0.43164662578540414, -0.18537812079275062, 1.7454565537822222, 1.0386723335779842]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.2785176159840899], [-0.6289480620599692], [-0.6298625910566561], [-1.7650704838811875]]",[[0.0]]
15,"[2, 4, 4, 1]",843.2824827257305,,"[[0.12099722913289439, -1.0656696425211507, 0.27799316237386107, -0.537198593488648], [-1.4176234305681825, 0.15247127045846118, 0.42368807039726386, 0.19989423113459154]]","[[-0.07636065166868766, -0.10596835189727792, 0.01871337148525757, 0.129498217430228]]","[[0.29212189714315023, 0.7013180630889679, -1.6995313161442331, -0.1799879176785016], [-0.14142201363256418, 0.5978329766667178, -1.312659384369867, 0.24839876383884701], [0.7781853899858304, -2.1729594750792773, 1.422998896640743, -0.28249958737842396], [0.3386168055333767, -0.326185312767986, -0.2982795993507182, 0.11600324408848928]]","[[0.3065289466832657, -0.33018468628055675, -0.22362660099593126, 0.17888577849778403]]","[[-1.1884664327367436], [-1.5209891458139153], [1.457562692111132], [0.6434239382825448]]",[[0.36893011135285136]]
16,"[2, 4, 4, 1]",3254.59981045956,,"[[0.8508083746629922, -1.7554710199301666, -0.1237310046958219, 1.9395218605757605], [-0.5564967702028323, -0.06833555243494736, 0.3544790036464854, 2.7205699561838466]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.3396159422284328, -0.641307628115466, -1.0503360312090224, 0.406025621678994], [0.2775656005430291, 0.4417433393506269, -0.27520351228058876, 0.8055950481230865], [0.9914089623335463, -0.07586793064799668, 1.8366011280441463, -2.30320130791155], [-2.011844560858934, 0.5247828794508379, 1.6750817841879717, 1.8655581642779289]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.29924472822457393], [0.24951686741300644], [0.9467641382255395], [-0.5304092137592566]]",[[0.0]]
17,"[2, 4, 4, 1]",7037.711611720299,,"[[-1.5776982169028202, 0.22529325669160477, 1.0250874460371078, -1.614430792788633], [-0.12169162334189167, 1.7189789895982404, 1.18026990511739, 0.3981012464401968]]","[[0.0, 0.0, 0.0, 0.0]]","[[0.9673270915183109, 0.7558690694135369, -0.3539862373075521, -0.08890938969018318], [-1.950549583734411, 1.2163063515278656, 0.7214418717499631, -1.2314139925491523], [0.9712142102151593, -0.012802986067246582, -0.7515074064830394, -0.9936217706793659], [0.16390552021116445, 0.3058748614914802, 0.20281913495745624, -0.2359805489358628]]","[[0.0, 0.0, 0.0, 0.0]]","[[-0.6579865450379311], [1.6500910630426742], [1.2790180930984134], [0.5180529572649518]]",[[0.0]]
18,"[2, 4, 4, 1]",766.2798284930103,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
19,"[2, 4, 4, 1]",843.2824827257305,,"[[0.12099722913289439, -1.0656696425211507, 0.27799316237386107, -0.537198593488648], [-1.4176234305681825, 0.15247127045846118, 0.42368807039726386, 0.19989423113459154]]","[[-0.07636065166868766, -0.10596835189727792, 0.01871337148525757, 0.129498217430228]]","[[0.29212189714315023, 0.7013180630889679, -1.6995313161442331, -0.1799879176785016], [-0.14142201363256418, 0.5978329766667178, -1.312659384369867, 0.24839876383884701], [0.7781853899858304, -2.1729594750792773, 1.422998896640743, -0.28249958737842396], [0.3386168055333767, -0.326185312767986, -0.2982795993507182, 0.11600324408848928]]","[[0.3065289466832657, -0.33018468628055675, -0.22362660099593126, 0.17888577849778403]]","[[-1.1884664327367436], [-1.5209891458139153], [1.457562692111132], [0.6434239382825448]]",[[0.36893011135285136]]
20,"[2, 4, 4, 1]",843.2824827257305,,"[[0.12099722913289439, -1.0656696425211507, 0.27799316237386107, -0.537198593488648], [-1.4176234305681825, 0.15247127045846118, 0.42368807039726386, 0.19989423113459154]]","[[-0.07636065166868766, -0.10596835189727792, 0.01871337148525757, 0.129498217430228]]","[[0.29212189714315023, 0.7013180630889679, -1.6995313161442331, -0.1799879176785016], [-0.14142201363256418, 0.5978329766667178, -1.312659384369867, 0.24839876383884701], [0.7781853899858304, -2.1729594750792773, 1.422998896640743, -0.28249958737842396], [0.3386168055333767, -0.326185312767986, -0.2982795993507182, 0.11600324408848928]]","[[0.3065289466832657, -0.33018468628055675, -0.22362660099593126, 0.17888577849778403]]","[[-1.1884664327367436], [-1.5209891458139153], [1.457562692111132], [0.6434239382825448]]",[[0.36893011135285136]]
21,"[2, 4, 4, 1]",766.2798284930103,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
22,"[2, 4, 4, 1]",766.2798284930103,,"[[0.1439870666150253, -1.096533133188516, 0.29322246463680857, -0.5148645648007982], [-1.3730299015601681, 0.1627723524542034, 0.37130243355225295, 0.13153635333066888]]","[[-0.07020262255496192, -0.11373967786757239, 0.03500216763707785, 0.1557573832861637]]","[[0.2975441696540872, 0.6850048156733528, -1.6771519151914456, -0.19777517158457883], [-0.11893353399474474, 0.6200351414128537, -1.364705903198563, 0.2732574011913774], [0.7531284049880396, -2.229508976642862, 1.4115718542275804, -0.271746677062058], [0.3501845875388113, -0.3571910182670942, -0.34226196117638824, 0.09331710636780452]]","[[0.3120853286436419, -0.3343834489807107, -0.1807987485544075, 0.13183178076060081]]","[[-1.2045533779104933], [-1.5552757161292903], [1.4759455297611601], [0.6045052108129837]]",[[0.3965741005349961]]
